"Employee Details"
"Sample CPA Firm"
"As of March 04, 2026"

"Employee","SSN (last 4)","Hire Date","Status","Pay Rate","Pay Type","Pay Schedule","Filing Status (Federal)"
"John Smith","xxxx-xx-1598","01/15/2020","Active","18.50","Hourly","Every other week","Married"
"Carlos Ramirez","xxxx-xx-2563","03/01/2021","Active","16.00","Hourly","Every other week","Single"
"David Park","xxxx-xx-3225","06/15/2022","Active","20.00","Hourly","Every other week","Single"
"Tyler Brown","xxxx-xx-3949","09/01/2023","Active","15.50","Hourly","Every other week","Single"
"Jennifer Liu","xxxx-xx-4487","02/01/2019","Active","85,000.00","Salary","Twice a month","Single"
"Michael Washington","xxxx-xx-5328","08/15/2020","Active","72,000.00","Salary","Twice a month","Married"
"Aisha Patel","xxxx-xx-5872","01/10/2022","Active","68,000.00","Salary","Twice a month","Single"
"Ryan O'Brien","xxxx-xx-6502","05/01/2021","Active","78,000.00","Salary","Twice a month","Married"
"Keisha Thompson","xxxx-xx-7436","11/01/2023","Active","62,000.00","Salary","Twice a month","Single"
"Lisa Jackson","xxxx-xx-8124","04/01/2021","Active","14.00","Hourly","Every other week","Single"
"Robert Kim","xxxx-xx-8296","07/15/2022","Active","15.00","Hourly","Every other week","Married"
