"Payroll Details"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Employee","Pay Period","Pay Date","Hours","Gross Pay","Federal Withholding","Social Security Employee","Medicare Employee","GA Withholding","Net Pay","Social Security Employer","Medicare Employer","Federal Unemployment","GA SUI","Check No."
"John Smith","01/01/2025 to 01/14/2025","01/19/2025","73.0","1,350.50","162.06","83.73","19.58","70.90","1,014.23","83.73","19.58","8.10","36.46","DD-4001"
"John Smith","01/15/2025 to 01/28/2025","02/02/2025","65.5","1,211.75","145.41","75.13","17.57","63.62","910.02","75.13","17.57","7.27","32.72","DD-4002"
"John Smith","01/29/2025 to 02/11/2025","02/16/2025","67.5","1,248.75","149.85","77.42","18.11","65.56","937.81","77.42","18.11","7.49","33.72","DD-4003"
"John Smith","02/12/2025 to 02/25/2025","03/02/2025","60.0","1,110.00","133.20","68.82","16.10","58.28","833.60","68.82","16.10","6.66","29.97","DD-4004"
"John Smith","02/26/2025 to 03/11/2025","03/16/2025","63.0","1,165.50","139.86","72.26","16.90","61.19","875.29","72.26","16.90","6.99","31.47","DD-4005"
"John Smith","03/12/2025 to 03/25/2025","03/30/2025","63.0","1,165.50","139.86","72.26","16.90","61.19","875.29","72.26","16.90","6.99","31.47","DD-4006"
"John Smith","03/26/2025 to 04/08/2025","04/13/2025","84.5","1,563.25","187.59","96.92","22.67","82.07","1,174.00","96.92","22.67","9.38","42.21","DD-4007"
"John Smith","04/09/2025 to 04/22/2025","04/27/2025","82.5","1,526.25","183.15","94.63","22.13","80.13","1,146.21","94.63","22.13","9.16","41.21","DD-4008"
"John Smith","04/23/2025 to 05/06/2025","05/11/2025","78.5","1,452.25","174.27","90.04","21.06","76.24","1,090.64","90.04","21.06","8.71","39.21","DD-4009"
"John Smith","05/07/2025 to 05/20/2025","05/25/2025","84.5","1,563.25","187.59","96.92","22.67","82.07","1,174.00","96.92","22.67","9.38","42.21","DD-4010"
"John Smith","05/21/2025 to 06/03/2025","06/08/2025","71.0","1,313.50","157.62","81.44","19.05","68.96","986.43","81.44","19.05","7.88","35.46","DD-4011"
"John Smith","06/04/2025 to 06/17/2025","06/22/2025","70.5","1,304.25","156.51","80.86","18.91","68.47","979.50","80.86","18.91","7.83","35.21","DD-4012"
"John Smith","06/18/2025 to 07/01/2025","07/06/2025","79.0","1,461.50","175.38","90.61","21.19","76.73","1,097.59","90.61","21.19","8.77","39.46","DD-4013"
"John Smith","07/02/2025 to 07/15/2025","07/20/2025","63.0","1,165.50","139.86","72.26","16.90","61.19","875.29","72.26","16.90","6.99","31.47","DD-4014"
"John Smith","07/16/2025 to 07/29/2025","08/03/2025","78.0","1,443.00","173.16","89.47","20.92","75.76","1,083.69","89.47","20.92","8.66","38.96","DD-4015"
"John Smith","07/30/2025 to 08/12/2025","08/17/2025","68.5","1,267.25","152.07","78.57","18.38","66.53","951.70","78.57","18.38","7.60","34.22","DD-4016"
"John Smith","08/13/2025 to 08/26/2025","08/31/2025","63.5","1,174.75","140.97","72.83","17.03","61.67","882.25","72.83","17.03","7.05","31.72","DD-4017"
"John Smith","08/27/2025 to 09/09/2025","09/14/2025","61.5","1,137.75","136.53","70.54","16.50","59.73","854.45","70.54","16.50","6.83","30.72","DD-4018"
"John Smith","09/10/2025 to 09/23/2025","09/28/2025","72.0","1,332.00","159.84","82.58","19.31","69.93","1,000.34","82.58","19.31","7.99","35.96","DD-4019"
"John Smith","09/24/2025 to 10/07/2025","10/12/2025","75.5","1,396.75","167.61","86.60","20.25","73.33","1,048.96","86.60","20.25","8.38","37.71","DD-4020"
"John Smith","10/08/2025 to 10/21/2025","10/26/2025","89.0","1,646.50","197.58","102.08","23.87","86.44","1,236.53","102.08","23.87","9.88","44.46","DD-4021"
"John Smith","10/22/2025 to 11/04/2025","11/09/2025","66.0","1,221.00","146.52","75.70","17.70","64.10","916.98","75.70","17.70","7.33","32.97","DD-4022"
"John Smith","11/05/2025 to 11/18/2025","11/23/2025","68.0","1,258.00","150.96","78.00","18.24","66.04","944.76","78.00","18.24","7.55","33.97","DD-4023"
"John Smith","11/19/2025 to 12/02/2025","12/07/2025","84.0","1,554.00","186.48","96.35","22.53","81.58","1,167.06","96.35","22.53","9.32","41.96","DD-4024"
"John Smith","12/03/2025 to 12/16/2025","12/21/2025","61.5","1,137.75","136.53","70.54","16.50","59.73","854.45","70.54","16.50","6.83","30.72","DD-4025"
"John Smith","12/17/2025 to 12/30/2025","01/04/2026","82.0","1,517.00","182.04","94.05","22.00","79.64","1,139.27","94.05","22.00","9.10","40.96","DD-4026"
"Carlos Ramirez","01/01/2025 to 01/14/2025","01/19/2025","83.5","1,336.00","160.32","82.83","19.37","70.14","1,003.34","82.83","19.37","8.02","36.07","DD-4027"
"Carlos Ramirez","01/15/2025 to 01/28/2025","02/02/2025","71.5","1,144.00","137.28","70.93","16.59","60.06","859.14","70.93","16.59","6.86","30.89","DD-4028"
"Carlos Ramirez","01/29/2025 to 02/11/2025","02/16/2025","80.5","1,288.00","154.56","79.86","18.68","67.62","967.28","79.86","18.68","7.73","34.78","DD-4029"
"Carlos Ramirez","02/12/2025 to 02/25/2025","03/02/2025","78.0","1,248.00","149.76","77.38","18.10","65.52","937.24","77.38","18.10","7.49","33.70","DD-4030"
"Carlos Ramirez","02/26/2025 to 03/11/2025","03/16/2025","67.5","1,080.00","129.60","66.96","15.66","56.70","811.08","66.96","15.66","6.48","29.16","DD-4031"
"Carlos Ramirez","03/12/2025 to 03/25/2025","03/30/2025","74.5","1,192.00","143.04","73.90","17.28","62.58","895.20","73.90","17.28","7.15","32.18","DD-4032"
"Carlos Ramirez","03/26/2025 to 04/08/2025","04/13/2025","79.0","1,264.00","151.68","78.37","18.33","66.36","949.26","78.37","18.33","7.58","34.13","DD-4033"
"Carlos Ramirez","04/09/2025 to 04/22/2025","04/27/2025","68.0","1,088.00","130.56","67.46","15.78","57.12","817.08","67.46","15.78","6.53","29.38","DD-4034"
"Carlos Ramirez","04/23/2025 to 05/06/2025","05/11/2025","60.0","960.00","115.20","59.52","13.92","50.40","720.96","59.52","13.92","5.76","25.92","DD-4035"
"Carlos Ramirez","05/07/2025 to 05/20/2025","05/25/2025","88.0","1,408.00","168.96","87.30","20.42","73.92","1,057.40","87.30","20.42","8.45","38.02","DD-4036"
"Carlos Ramirez","05/21/2025 to 06/03/2025","06/08/2025","78.5","1,256.00","150.72","77.87","18.21","65.94","943.26","77.87","18.21","7.54","33.91","DD-4037"
"Carlos Ramirez","06/04/2025 to 06/17/2025","06/22/2025","90.5","1,448.00","173.76","89.78","21.00","76.02","1,087.44","89.78","21.00","8.69","39.10","DD-4038"
"Carlos Ramirez","06/18/2025 to 07/01/2025","07/06/2025","78.0","1,248.00","149.76","77.38","18.10","65.52","937.24","77.38","18.10","7.49","33.70","DD-4039"
