"Payroll Summary"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"","","EMPLOYEE","","","","","EMPLOYER","","",""
"Employee","Gross Pay","Federal Withholding","Social Security Employee","Medicare Employee","GA Withholding","Net Pay","Social Security Employer","Medicare Employer","Federal Unemployment","GA SUI"
"John Smith","36,075.00","4,329.00","2,236.65","523.09","1,893.94","27,092.32","2,236.65","523.09","216.45","974.02"
"Carlos Ramirez","31,200.00","3,744.00","1,934.40","452.40","1,638.00","23,431.20","1,934.40","452.40","187.20","842.40"
"David Park","39,000.00","4,680.00","2,418.00","565.50","2,047.50","29,289.00","2,418.00","565.50","234.00","1,053.00"
"Tyler Brown","30,225.00","3,627.00","1,873.95","438.26","1,586.81","22,698.98","1,873.95","438.26","181.35","816.08"
"Jennifer Liu","85,000.00","10,200.00","5,270.00","1,232.50","4,462.50","63,835.00","5,270.00","1,232.50","510.00","2,295.00"
"Michael Washington","72,000.00","8,640.00","4,464.00","1,044.00","3,780.00","54,072.00","4,464.00","1,044.00","432.00","1,944.00"
"Aisha Patel","68,000.00","8,160.00","4,216.00","986.00","3,570.00","51,068.00","4,216.00","986.00","408.00","1,836.00"
"Ryan O'Brien","78,000.00","9,360.00","4,836.00","1,131.00","4,095.00","58,578.00","4,836.00","1,131.00","468.00","2,106.00"
"Keisha Thompson","62,000.00","7,440.00","3,844.00","899.00","3,255.00","46,562.00","3,844.00","899.00","372.00","1,674.00"
"Lisa Jackson","27,300.00","3,276.00","1,692.60","395.85","1,433.25","20,502.30","1,692.60","395.85","163.80","737.10"
"Robert Kim","29,250.00","3,510.00","1,813.50","424.12","1,535.62","21,966.76","1,813.50","424.12","175.50","789.75"
"TOTAL","558,050.00","66,966.00","34,599.10","8,091.72","29,297.62","419,095.56","34,599.10","8,091.72","3,348.30","15,067.35"
